Ticker,COVID BEHAVIOUR,COVID DEPENDANCY,CLASS
AAL,1110,7,1
AAPL,1101,3,0
ABC,11111,2,0
ADI,11110,6,1
ADM,11110,3,0
ADP,1101,4,0
ADSK,11111,6,1
AEE,1,1,0
AEP,1101,2,0
AIG,1111,8,1
AIV,1100,3,0
AIZ,11101,3,0
AJG,1101,4,0
AMAT,1110,9,1
AMCR,11101,3,0
AME,11100,4,0
AMGN,11010,2,0
AMP,11111,6,1
AMT,11011,3,0
ANET,11110,7,1
ANSS,11111,4,0
ANTM,1100,5,1
AON,11111,2,0
APA,1110,8,1
APH,1111,4,0
APTV,1110,9,1
ATO,11000,1,0
AVB,1111,3,0
AVGO,11111,5,1
AVY,1111,6,1
AWK,1111,2,0
AXP,1110,4,0
AZO,1011,2,0
B,1110,6,1
BA,1110,7,1
BAC,11110,4,0
BAX,11001,2,0
BBWI,1111,8,1
BBY,11010,3,0
BDX,10111,2,0
BEN,1110,5,1
BHF,11111,6,1
BIIB,10010,3,0
BK,11101,4,0
BKR,11110,8,1
BLK,11101,6,1
BLL,11101,2,0
BMY,11100,2,0
BSX,11011,3,0
BWA,1010,3,0
BXP,1110,3,0
C,1110,5,1
CAG,11100,2,0
CAH,11100,3,0
CAT,11110,6,1
CB,1111,5,1
CBOE,1111,2,0
CCI,11010,2,0
CCL,1110,8,1
CDNS,11111,7,1
CERN,11100,2,0
CF,11110,5,1
CFG,1110,7,1
CHD,11000,2,0
CHRW,11000,3,0
CHTR,11101,2,0
CI,11100,3,0
CINF,110,3,0
CL,11100,2,0
CLX,11000,3,0
CMA,1111,8,1
CMCSA,1111,3,0
CME,11110,2,0
CMG,11111,3,0
CMS,1,2,0
CNC,11100,3,0
CNP,11101,2,0
COF,1110,9,1
COG,11011,3,0
COO,1111,2,0
COP,11110,6,1
COST,11101,2,0
COTY,110,10,1
CPB,1100,2,0
CRM,11011,3,0
CSCO,11111,3,0
CSX,11110,4,0
CTAS,1101,4,0
CTSH,1101,4,0
CTXS,10010,3,0
CVX,11110,3,0
D,11001,2,0
DAL,1110,8,1
DE,11111,6,1
DFS,1110,10,1
DG,11101,3,0
DGX,1101,4,0
DIS,11111,6,1
DISCA,1110,9,1
DISCK,1110,8,1
DISH,1011,3,0
DLR,10011,2,0
DLTR,11100,3,0
DOV,1101,3,0
DRE,11111,2,0
DRI,1111,7,1
DTE,11111,2,0
DUK,1101,2,0
DVA,1101,6,1
DVN,11110,10,1
DXC,11100,5,1
EA,11110,3,0
EBAY,1011,4,0
ECL,1101,3,0
ED,0,2,0
EFX,1101,5,1
EIX,11101,4,0
EL,1111,4,0
EMN,11110,7,1
EMR,11111,4,0
EOG,11110,8,1
EQIX,11001,2,0
EQR,1111,3,0
EQT,11010,7,1
ES,1101,2,0
ESS,1111,3,0
ETN,1111,4,0
ETR,1101,2,0
EW,11101,2,0
EXC,11111,3,0
EXPD,11110,2,0
EXPE,1110,8,1
EXR,11111,2,0
F,1110,7,1
FAST,1101,3,0
FB,11001,2,0
FBHS,1110,3,0
FCX,11110,10,1
FDX,11110,3,0
FE,10110,2,0
FFIV,11111,8,1
FIS,1000,2,0
FISV,1101,3,0
FITB,1110,7,1
FL,1110,6,1
FLR,11110,10,1
FLS,11110,5,1
FMC,11100,3,0
FOX,1110,2,0
FOXA,1110,3,0
FRT,1110,5,1
FTI,11100,7,1
FTV,11101,2,0
GD,1111,2,0
GE,1110,9,1
GILD,11011,2,0
GIS,11000,2,0
GLW,1110,4,0
GM,1110,8,1
GPC,1110,2,0
GPN,1100,5,1
GPS,1110,7,1
GRMN,1111,4,0
GS,11111,7,1
GT,1110,6,1
GWW,11100,3,0
HAL,11110,8,1
HAS,11101,5,1
HBAN,1111,7,1
HBI,1010,4,0
HCA,1111,4,0
HD,1011,2,0
HES,11110,6,1
HIG,1111,5,1
HII,10110,3,0
HLT,1110,5,1
HOG,1100,7,1
HOLX,1111,5,1
HON,1101,5,1
HP,11110,9,1
HPE,11110,5,1
HPQ,1110,5,1
HRB,1111,5,1
HRL,10010,2,0
HSIC,1101,2,0
HST,1110,5,1
HSY,10101,2,0
HUM,11100,3,0
IBM,11100,2,0
ICE,11101,3,0
IDXX,11111,6,1
IFF,11011,4,0
ILMN,11111,5,1
INCY,11000,3,0
INFO,11111,4,0
INTC,11110,3,0
INTU,1111,4,0
IP,11100,5,1
IPG,1111,7,1
IQV,11111,3,0
IR,11101,6,1
IRM,1011,3,0
ISRG,11101,3,0
IT,1111,5,1
ITW,11100,2,0
IVZ,1110,9,1
JBHT,11111,3,0
JCI,1111,5,1
JNJ,11111,2,0
JNPR,11110,2,0
JPM,1111,5,1
JWN,1110,10,1
K,11000,2,0
KEY,1110,7,1
KHC,11110,4,0
KIM,1111,8,1
KLAC,11111,9,1
KMB,1001,2,0
KMI,11110,2,0
KO,1101,2,0
KR,11011,2,0
KSS,1111,10,1
KSU,11110,3,0
L,10110,4,0
LEG,1100,2,0
LEN,1011,4,0
LH,1111,5,1
LKQ,1111,4,0
LLL,1110,10,1
LLY,11111,4,0
LMT,11000,3,0
LNC,11111,8,1
LOW,1111,2,0
LRCX,11110,9,1
LUV,1110,5,1
LYB,11110,6,1
M,1111,10,1
MA,11100,2,0
MAA,1111,3,0
MAC,1110,9,1
MAR,1110,6,1
MAS,1001,2,0
MAT,1111,8,1
MCD,11011,2,0
MCHP,11111,8,1
MCK,11111,3,0
MCO,11101,2,0
MDLZ,11100,2,0
MDT,10101,3,0
MET,11110,6,1
MGM,1111,8,1
MHK,1111,9,1
MKC,11000,3,0
MLM,1111,6,1
MMC,1011,2,0
MNST,1101,3,0
MOS,11110,7,1
MPC,1110,8,1
MRK,10000,2,0
MRO,1110,10,1
MS,11111,7,1
MSFT,11111,3,0
MSI,1111,3,0
MTB,1110,5,1
MTD,11101,4,0
MU,11110,9,1
NAVI,1111,5,1
NCLH,1110,8,1
NDAQ,11111,3,0
NEE,11111,2,0
NEM,11000,3,0
NFLX,11111,3,0
NI,10100,1,0
NKE,11111,4,0
NLSN,1110,7,1
NOC,11000,2,0
NOV,11110,5,1
NRG,11111,3,0
NSC,11110,3,0
NTAP,11111,7,1
NTRS,11110,4,0
NUE,11111,4,0
NVDA,11111,4,0
NWL,11110,6,1
NWS,1110,6,1
NWSA,1110,7,1
O,1011,3,0
OKE,1110,9,1
OMC,1110,4,0
ORCL,11101,3,0
ORLY,1001,2,0
OXY,11110,10,1
PAYX,1101,4,0
PBCT,1110,6,1
PCAR,11110,2,0
PCG,1100,6,1
PDCO,1110,7,1
PEG,11111,2,0
PEP,10101,2,0
PFE,11101,2,0
PFG,1111,6,1
PG,11101,2,0
PGR,11101,2,0
PH,1110,6,1
PHM,1010,5,1
PKG,11101,6,1
PKI,11101,6,1
PLD,11011,3,0
PM,111,2,0
PNC,1111,7,1
PNR,1111,4,0
PNW,1100,2,0
PPG,1100,3,0
PPL,1101,2,0
PRGO,11000,2,0
PRU,11111,4,0
PSA,1111,2,0
PSX,11110,6,1
PVH,1101,8,1
PWR,11111,7,1
PXD,11110,7,1
PYPL,11111,6,1
QCOM,1101,6,1
QRVO,11110,7,1
RCL,1110,4,0
RE,1111,3,0
REG,1111,5,1
REGN,11001,3,0
RF,1110,8,1
RHI,1111,6,1
RJF,1111,6,1
RL,1110,7,1
RMD,11101,4,0
ROK,11101,3,0
ROP,11101,3,0
ROST,1110,5,1
RRC,11111,9,1
RSG,1101,2,0
SBAC,11001,3,0
SBUX,11101,4,0
SCHW,11110,9,1
SEE,11101,4,0
SHW,1101,2,0
SIG,1111,10,1
SJM,10100,2,0
SLB,11110,6,1
SLG,1110,6,1
SNA,1110,4,0
SNPS,11111,6,1
SO,11101,3,0
SPG,1110,8,1
SPGI,11011,3,0
SRCL,1100,3,0
SRE,11100,2,0
STT,11111,3,0
STX,11110,6,1
STZ,11110,3,0
SWK,11100,2,0
SWKS,11111,6,1
SYF,1110,8,1
SYK,11111,4,0
SYY,1110,4,0
T,1100,2,0
TAP,10100,5,1
TDG,1100,6,1
TEL,1111,5,1
TGT,11111,4,0
TJX,1111,4,0
TMO,11111,3,0
TPR,1110,10,1
TRIP,1110,8,1
TROW,11111,4,0
TRV,1111,4,0
TSCO,11111,4,0
TSN,11111,2,0
TXN,11111,4,0
TXT,1111,5,1
UA,1111,9,1
UAA,1111,9,1
UAL,1110,7,1
UDR,1111,3,0
UHS,1100,4,0
ULTA,1111,5,1
UNH,1101,3,0
UNM,1110,5,1
UNP,11110,2,0
UPS,11100,2,0
URI,11111,8,1
USB,11110,5,1
V,11100,2,0
VFC,1100,4,0
VLO,1110,6,1
VMC,1111,4,0
VNO,1110,2,0
VRSK,11101,3,0
VRSN,11101,2,0
VRTX,11000,3,0
VTR,1110,4,0
VZ,11000,2,0
WAT,11111,4,0
WBA,1110,4,0
WDC,11110,8,1
WEC,1001,2,0
WFC,110,5,1
WHR,1110,3,0
WLTW,11010,2,0
WM,1101,2,0
WMB,11110,2,0
WMT,10101,2,0
WRK,11100,6,1
WU,1010,2,0
WY,1111,4,0
WYNN,1110,8,1
XEC,11111,10,1
XEL,1000,2,0
XL,11100,10,1
XLNX,11101,7,1
XOM,11110,5,1
XRAY,1100,4,0
XRX,110,5,1
XYL,1101,3,0
YUM,1101,3,0
ZBH,11110,3,0
ZION,1111,7,1
ZTS,11101,2,0
